cluster,symbol,type,timestamp,maxTimeDev,channelCount,time,totalVolume,peakGainInsiders,peakGainPublic,secondsToPeak,maxProfit,initialPrice,initialDayVol,mediumTermPriceIncrease
80,GRS,pump,1540407614,11,3,2018-10-24T19:00:14Z,544279.730803285,1.07779017863426,0.999675005038308,-2.00300002098084,18397.1273341255,0.5645002566,258430.007647697,1.02338072904886
76,PHX,pump,1540645234,16,2,2018-10-27T13:00:34Z,1382731.27017735,1.10478847078959,1.05916877274411,79.9939999580383,102890.911746101,0.0180426996,4423331.64099346,1.08008536088653
81,IOTX,pump,1540746031,0,1,2018-10-28T17:00:31Z,3272314.74941263,1.25973587467262,1.17821740226225,164.271000146866,554066.772831833,0.0207712,3531939.9642062,1.18064478133184
82,WINGS,pump,1541610121,67,3,2018-11-07T17:02:01Z,1628607.46320339,1.60451831991691,1.16139577332517,-68.1930000782013,603019.833720419,0.1699358908,181996.9050798,1.42624322273931
88,EVX,pump,1541613626,0,1,2018-11-07T18:00:26Z,410436.968290308,1.06233129184488,1.02285361183704,51.180999994278,16152.7750602274,0.5304288636,243570.915491616,1.0273351032789
73,BRD,pump,1542128400,7,2,2018-11-13T17:00:00Z,593476.577105062,1.16174868023576,1.13610624762534,179.361999988556,65382.0926882645,0.3531332232,77323.8493869864,1.11807722950842
74,EVX,pump,1542733201,0,1,2018-11-20T17:00:01Z,228977.55411127,1.22700496343656,1.20851852894789,29.0269999504089,29148.4755578204,0.296606793,187821.383832046,1.07541539837853
85,MOD,pump,1542898830,0,1,2018-11-22T15:00:30Z,324005.40701644,1.09245656918449,1.00666032350143,-15.029000043869,10977.4609847907,0.454409669,317607.796717315,0.992971632451903
75,RDN,pump,1543338000,11,3,2018-11-27T17:00:00Z,185829.239976977,1.17384952576078,1.11539290926646,457.720999956131,21191.7588114389,0.2172180645,104735.804702652,1.12722981560376
77,HC,pump,1543510798,0,1,2018-11-29T16:59:58Z,62074.137936461,1.07581660113406,1.07523431281783,7.01300001144409,1793.02826977006,0.945599195,86457.8907529755,1.00881320987495
107,WINGS,pump,1544115600,0,1,2018-12-06T17:00:00Z,8132.50061563159,1.06001191410379,1.05295846091624,13.018000125885,341.790988877978,0.0723335985,85837.5724342446,1.00311578358235
89,OAX,pump,1544202001,10,2,2018-12-07T17:00:01Z,159508.07750351,1.21115665275511,1.14762053414608,78.1159999370575,25087.9054716094,0.074199244,75234.372898104,1.12953678334637
108,STORJ,pump,1544294700,0,1,2018-12-08T18:45:00Z,118319.522750937,1.11102680945395,1.10198223546287,142.141000032425,8730.62225348503,0.126568225,94255.191634765,1.07263165761274
90,EVX,pump,1544461201,11,2,2018-12-10T17:00:01Z,191109.882821993,1.11676548299781,1.02003202565476,28.0449998378754,12026.4608700602,0.215330635,69707.150925625,1.0356881994873
109,WABI,pump,1544979604,0,1,2018-12-16T17:00:04Z,247803.960715156,1.21068252764683,1.17302909849999,482.875,33199.2727512032,0.1071847336,74713.9205922507,1.1462161099684
95,BRD,pump,1545498011,0,1,2018-12-22T17:00:11Z,60521.347333462,1.07402335284386,1.07009193492293,122.205999851227,2446.24854268752,0.2030747274,75728.2727583378,1.0330317323118
103,NEBL,pump,1545584395,5,2,2018-12-23T16:59:55Z,432905.030655189,1.1514075053339,1.13294268195181,60.0829999446869,43804.4703722684,1.3125492,418563.213513105,1.08666016904484
132,SUB,pump,1545913825,0,1,2018-12-27T12:30:25Z,105695.749139537,1.11726293918321,1.04353621377431,216.409999847412,8917.16475403199,0.04736833,71912.89643455,1.08698034169573
91,HC,pump,1545929997,11,2,2018-12-27T16:59:57Z,159033.025603565,1.0918954288199,1.10410528485811,35.0750000476837,9827.02700816852,0.852185544,69327.0534380664,1.04659967667988
125,BRD,pump,1546189212,0,1,2018-12-30T17:00:12Z,357226.983111557,1.05794600219346,1.01548662056454,16.0260000228882,7472.64601115057,0.2197284216,284928.804642671,0.989533337031444
99,AMB,pump,1546353003,9,2,2019-01-01T14:30:03Z,340328.798636541,1.16752848772158,1.07737242034946,97.1890001296997,35798.33884738,0.0687344544,196385.853727818,1.12142847219636
124,BNT,pump,1546808399,18,2,2019-01-06T20:59:59Z,615775.635393631,1.30419283688827,1.17003899624368,9.01300001144409,108260.565681275,0.6886346922,59497.232363322,1.14782069918831
100,LOOM,pump,1546871233,0,1,2019-01-07T14:27:13Z,740207.233029648,1.11102241931034,1.01496717876289,156.301000118256,53051.6170271533,0.0513217928,443033.343302258,1.07514005838991
126,LOOM,pump,1546871318,0,1,2019-01-07T14:28:38Z,776814.8337278,1.11158078937473,1.01222258732513,71.1259999275208,55459.308104025,0.0512960128,444862.755386458,1.06895252089977
92,EVX,pump,1546963200,7,2,2019-01-08T16:00:00Z,129158.079629731,1.06718869361197,1.02759542454905,2.96500015258789,3981.92221933332,0.2407537538,123099.640559341,1.01762854286499
127,WABI,pump,1547042612,0,1,2019-01-09T14:03:32Z,3310.36361065158,1.00173444173456,1.00236027478218,-36.0610001087189,2.39967020564429,0.1306232406,225806.205250615,0.99502022675894
110,GXS,pump,1548007159,26,2,2019-01-20T17:59:19Z,657446.042237107,1.39938605780661,1.32748745485137,85.1230001449585,149937.731835393,0.52919966,94340.964426148,1.21717097345326
111,HC,pump,1548439198,15,3,2019-01-25T17:59:58Z,819637.643125724,1.24423773098298,1.06304121865866,94.1270000934601,127934.324862638,1.072611541,304335.388504193,1.15748295545257
112,WINGS,pump,1548611993,16,3,2019-01-27T17:59:53Z,808368.859682199,1.35106202220085,1.11852930031353,25.0529999732971,170934.299603732,0.090487421,258857.778025598,1.15108751474804
128,BQX,pump,1548770424,0,1,2019-01-29T14:00:24Z,560565.480288586,1.02277673099635,1.00986387847702,-1.00399994850159,987.541931566325,0.1707352605,3455958.60845026,0.948845171714783
123,GRS,pump,1549130403,12,2,2019-02-02T18:00:03Z,595131.189149737,1.21214294882239,1.00035983886927,-12.0160000324249,52513.4645812593,0.1995647248,86322.6530373548,1.04122359099478
101,VIA,pump,1549206241,24,2,2019-02-03T15:04:01Z,307416.638087405,1.18286532304159,1.12662700150412,81.1059999465942,34243.1658475961,0.280683856,50121.4540674192,1.10339119175168
122,STORJ,pump,1549297825,0,1,2019-02-04T16:30:25Z,1946618.55919155,1.84488812170177,1.06223959345271,-40.0260000228882,806530.137809451,0.1420738137,110420.793530447,1.17263036144935
133,SUB,pump,1549643444,0,1,2019-02-08T16:30:44Z,101564.284963357,1.0715686875783,1.00077101002313,1.00300002098084,4671.89552013753,0.0423839182,67757.1212722924,1.04224849098989
104,GXS,pump,1549821599,31,4,2019-02-10T17:59:59Z,749999.879108671,1.24390352578059,1.06504567903362,47.0440001487732,118956.544150194,0.588392343,77454.165375954,1.13556300877035
121,EDO,pump,1550340018,15,2,2019-02-16T18:00:18Z,303514.426401932,1.13486701267261,0.998730577732569,-11.0160000324249,18080.280008994,0.7610274,215101.05029321,1.0131647625861
105,HC,pump,1550941198,6,3,2019-02-23T16:59:58Z,513395.116269828,1.07829162538958,1.03163735185659,-9.00699996948242,28729.3458233646,1.180838762,475380.942798914,1.04517985066354
96,BQX,pump,1551027614,11,2,2019-02-24T17:00:14Z,33579.7233264191,1.03977049231426,1.02347522378377,37.0390000343323,1607.2518623258,0.13923586,726662.4260634,1.02658713670598
97,SYS,pump,1551286810,0,1,2019-02-27T17:00:10Z,408515.617181715,1.130139675511,1.08710331683085,126.088000059128,29596.2386676995,0.04852676,96444.82513868,1.07670483367321
106,AST,pump,1551535211,23,4,2019-03-02T14:00:11Z,1921337.46079636,1.16824691603412,1.13641435707745,28.0099999904633,147568.189468556,0.0430158375,1646654.66097102,1.05186200534452
113,GRS,pump,1551803415,42,3,2019-03-05T16:30:15Z,3291708.72547105,1.29419443102442,1.22111947427564,530.358000040054,602202.542724136,0.2406611524,496475.651056285,1.2007882183128
